"x","y","name"
1,130.531785733883,"No1"
2,154.441359687499,"No1"
3,36.6489783733094,"No1"
4,122.878145860233,"No1"
5,99.5040375379551,"No1"
6,108.665329807085,"No1"
7,82.0868016008227,"No1"
8,90.5532044289163,"No1"
9,161.350326843722,"No1"
10,163.124271304293,"No1"
11,216.713501891937,"No1"
12,221.686532494634,"No1"
13,243.761002392954,"No1"
14,155.876081284073,"No1"
15,152.226084568447,"No1"
16,263.441833601056,"No1"
17,236.89976648576,"No1"
18,228.963311181819,"No1"
19,216.320762309339,"No1"
20,203.27366098557,"No1"
21,267.812633837809,"No1"
22,266.862928542149,"No1"
23,257.357230085366,"No1"
24,261.355120406043,"No1"
25,226.268388033279,"No1"
26,357.904861698318,"No1"
27,330.727332597971,"No1"
28,256.575669004956,"No1"
29,299.809366783338,"No1"
30,312.214346531525,"No1"
31,359.661062901495,"No1"
32,340.270956093982,"No1"
33,322.287809990477,"No1"
34,409.692376584583,"No1"
35,310.057085855722,"No1"
36,412.856070722759,"No1"
37,422.754906080989,"No1"
38,431.528513753269,"No1"
39,421.032763781603,"No1"
40,440.901772001815,"No1"
41,373.906749458102,"No1"
42,381.179366366508,"No1"
43,412.666446510871,"No1"
44,501.818499125408,"No1"
45,527.26515854536,"No1"
46,475.498936600566,"No1"
47,491.384039893893,"No1"
48,472.506995837074,"No1"
49,427.450855203641,"No1"
50,538.143863320067,"No1"
51,542.687835979139,"No1"
52,499.358118794431,"No1"
53,502.511095653911,"No1"
54,554.351181863436,"No1"
55,537.162467010587,"No1"
56,537.242612476339,"No1"
57,518.365170919536,"No1"
58,628.174185912168,"No1"
59,516.221948252151,"No1"
60,520.122000704819,"No1"
61,573.855589785334,"No1"
62,615.450792725203,"No1"
63,566.743756853664,"No1"
64,640.151171219246,"No1"
65,613.871201306998,"No1"
66,674.808966002921,"No1"
67,634.061039467367,"No1"
68,608.456187333522,"No1"
69,628.114729957091,"No1"
70,620.499964374891,"No1"
71,707.378964697535,"No1"
72,719.87231616602,"No1"
73,719.229080488775,"No1"
74,728.745629625953,"No1"
75,692.58618157086,"No1"
76,764.874061828161,"No1"
77,756.374939987034,"No1"
78,703.996093386005,"No1"
79,771.396618566823,"No1"
80,767.253099740414,"No1"
81,757.292219181391,"No1"
82,832.106495004699,"No1"
83,787.689033212498,"No1"
84,760.024614429772,"No1"
85,793.675323252794,"No1"
86,875.63448141931,"No1"
87,796.215522447666,"No1"
88,813.311600031985,"No1"
89,805.994882018043,"No1"
90,890.758643362376,"No1"
91,901.292458679363,"No1"
92,876.405365011422,"No1"
93,846.957516588244,"No1"
94,855.806410833833,"No1"
95,952.809497228339,"No1"
96,846.104070860765,"No1"
97,866.737920226297,"No1"
98,930.673821949318,"No1"
99,930.602776662193,"No1"
